result-school-link,result-school-link href,value 5,visuallyhidden 9,value 6,visuallyhidden 10,value 7,visuallyhidden 11,value 8,button-comparison-add,button-comparison-add href,text-add,text-create
Whitmore High School,https://www.compare-school-performance.service.gov.uk/school/102239/whitmore-high-school,"97%
(258 of 265 pupils)",Grade 5 or above in English & maths GCSEs,58%,Attainment 8 score,57.4,EBacc average point score,5.34,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/102239/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=1&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Nishkam High School,https://www.compare-school-performance.service.gov.uk/school/138586/nishkam-high-school,"98%
(92 of 94 pupils)",Grade 5 or above in English & maths GCSEs,60%,Attainment 8 score,56.1,EBacc average point score,5.28,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/138586/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=1&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
,,40%,,"94%
(497037 of 528139 pupils)",,43%,,46.7,,,,
,,37%,,40%,,,,44.7,,,,
St Augustine's Catholic High School,https://www.compare-school-performance.service.gov.uk/school/141063/st-augustine's-catholic-high-school,"97%
(194 of 199 pupils)",Grade 5 or above in English & maths GCSEs,58%,Attainment 8 score,54.1,EBacc average point score,4.66,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/141063/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=2&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Ark King Solomon Academy,https://www.compare-school-performance.service.gov.uk/school/135242/ark-king-solomon-academy,"100%
(58 of 58 pupils)",Grade 5 or above in English & maths GCSEs,56%,Attainment 8 score,58.5,EBacc average point score,5.67,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/135242/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=2&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Colyton Grammar School,https://www.compare-school-performance.service.gov.uk/school/136366/colyton-grammar-school,"100%
(118 of 118 pupils)",Grade 5 or above in English & maths GCSEs,100%,Attainment 8 score,81.7,EBacc average point score,7.83,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/136366/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=2&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Walton Academy,https://www.compare-school-performance.service.gov.uk/school/136624/walton-academy,"98%
(120 of 123 pupils)",Grade 5 or above in English & maths GCSEs,44%,Attainment 8 score,51.4,EBacc average point score,4.58,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/136624/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=2&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Bentley Wood High School,https://www.compare-school-performance.service.gov.uk/school/137178/bentley-wood-high-school,"97%
(166 of 172 pupils)",Grade 5 or above in English & maths GCSEs,54%,Attainment 8 score,57.5,EBacc average point score,5.54,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/137178/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=2&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Sacred Heart Catholic School,https://www.compare-school-performance.service.gov.uk/school/138960/sacred-heart-catholic-school,"98%
(129 of 132 pupils)",Grade 5 or above in English & maths GCSEs,53%,Attainment 8 score,55.5,EBacc average point score,5.11,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/138960/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=2&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
