result-school-link,result-school-link href,value 5,visuallyhidden 9,value 6,visuallyhidden 10,value 7,visuallyhidden 11,value 8,button-comparison-add,button-comparison-add href,text-add,text-create
Westcliff High School for Girls,https://www.compare-school-performance.service.gov.uk/school/136490/westcliff-high-school-for-girls,"100%
(150 of 150 pupils)",Grade 5 or above in English & maths GCSEs,98%,Attainment 8 score,76,EBacc average point score,7.13,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/136490/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=4&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Trinity Academy Cathedral,https://www.compare-school-performance.service.gov.uk/school/145579/trinity-academy-cathedral,,Grade 5 or above in English & maths GCSEs,46%,Attainment 8 score,50.7,EBacc average point score,3.57,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/145579/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=4&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Parliament Hill School,https://www.compare-school-performance.service.gov.uk/school/100050/parliament-hill-school,"94%
(161 of 172 pupils)",Grade 5 or above in English & maths GCSEs,58%,Attainment 8 score,58.7,EBacc average point score,5.34,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/100050/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=4&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
St Catherine's Catholic School,https://www.compare-school-performance.service.gov.uk/school/137681/st-catherine's-catholic-school,"99%
(206 of 208 pupils)",Grade 5 or above in English & maths GCSEs,58%,Attainment 8 score,56,EBacc average point score,5.12,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/137681/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=4&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Ark John Keats Academy,https://www.compare-school-performance.service.gov.uk/school/139815/ark-john-keats-academy,,Grade 5 or above in English & maths GCSEs,55%,Attainment 8 score,51.9,EBacc average point score,4.93,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/139815/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=4&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Ursuline High School Wimbledon,https://www.compare-school-performance.service.gov.uk/school/102683/ursuline-high-school-wimbledon,"98%
(206 of 210 pupils)",Grade 5 or above in English & maths GCSEs,63%,Attainment 8 score,59.6,EBacc average point score,5.39,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/102683/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=4&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
West Kirby Grammar School,https://www.compare-school-performance.service.gov.uk/school/137243/west-kirby-grammar-school,"99%
(174 of 176 pupils)",Grade 5 or above in English & maths GCSEs,94%,Attainment 8 score,71.2,EBacc average point score,6.73,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/137243/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=4&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Queen Mary's Grammar School,https://www.compare-school-performance.service.gov.uk/school/136773/queen-mary's-grammar-school,"100%
(95 of 95 pupils)",Grade 5 or above in English & maths GCSEs,98%,Attainment 8 score,76.4,EBacc average point score,7.2,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/136773/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=4&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Harris Academy St John's Wood,https://www.compare-school-performance.service.gov.uk/school/145126/harris-academy-st-john's-wood,,Grade 5 or above in English & maths GCSEs,50%,Attainment 8 score,54,EBacc average point score,4.71,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/145126/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=4&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
The Grey Coat Hospital,https://www.compare-school-performance.service.gov.uk/school/138313/the-grey-coat-hospital,"99%
(148 of 149 pupils)",Grade 5 or above in English & maths GCSEs,73%,Attainment 8 score,64,EBacc average point score,6.02,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/138313/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=4&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Harris Boys' Academy East Dulwich,https://www.compare-school-performance.service.gov.uk/school/135816/harris-boys'-academy-east-dulwich,"95%
(124 of 131 pupils)",Grade 5 or above in English & maths GCSEs,46%,Attainment 8 score,52.4,EBacc average point score,4.27,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/135816/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=4&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Central Foundation Girls' School,https://www.compare-school-performance.service.gov.uk/school/100975/central-foundation-girls'-school,"99%
(236 of 239 pupils)",Grade 5 or above in English & maths GCSEs,59%,Attainment 8 score,56,EBacc average point score,4.9,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/100975/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=4&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Dartford Grammar School,https://www.compare-school-performance.service.gov.uk/school/136359/dartford-grammar-school,"100%
(155 of 155 pupils)",Grade 5 or above in English & maths GCSEs,96%,Attainment 8 score,74.3,EBacc average point score,7.4,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/136359/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=4&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
The Cherwell School,https://www.compare-school-performance.service.gov.uk/school/137970/the-cherwell-school,"95%
(252 of 264 pupils)",Grade 5 or above in English & maths GCSEs,64%,Attainment 8 score,58.6,EBacc average point score,5.28,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/137970/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=4&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
JFS,https://www.compare-school-performance.service.gov.uk/school/133724/jfs,"99%
(282 of 286 pupils)",Grade 5 or above in English & maths GCSEs,72%,Attainment 8 score,62,EBacc average point score,5.71,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/133724/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=4&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Ashmole Academy,https://www.compare-school-performance.service.gov.uk/school/136308/ashmole-academy,"98%
(218 of 223 pupils)",Grade 5 or above in English & maths GCSEs,75%,Attainment 8 score,61.5,EBacc average point score,5.96,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/136308/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=4&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Bradford Girls' Grammar School,https://www.compare-school-performance.service.gov.uk/school/140204/bradford-girls'-grammar-school,"97%
(94 of 97 pupils)",Grade 5 or above in English & maths GCSEs,58%,Attainment 8 score,51.3,EBacc average point score,4.68,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/140204/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=4&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
The Ursuline Academy Ilford,https://www.compare-school-performance.service.gov.uk/school/137418/the-ursuline-academy-ilford,"98%
(120 of 122 pupils)",Grade 5 or above in English & maths GCSEs,71%,Attainment 8 score,59.2,EBacc average point score,5.23,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/137418/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=4&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Whalley Range 11-18 High School,https://www.compare-school-performance.service.gov.uk/school/141264/whalley-range-11-18-high-school,"94%
(248 of 265 pupils)",Grade 5 or above in English & maths GCSEs,39%,Attainment 8 score,49.7,EBacc average point score,4.55,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/141264/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=4&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Beis Yaakov High School,https://www.compare-school-performance.service.gov.uk/school/138698/beis-yaakov-high-school,"96%
(43 of 45 pupils)",Grade 5 or above in English & maths GCSEs,59%,Attainment 8 score,55.8,EBacc average point score,5.17,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/138698/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=4&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Lordswood Girls' School and Sixth Form Centre,https://www.compare-school-performance.service.gov.uk/school/136592/lordswood-girls'-school-and-sixth-form-centre,"100%
(130 of 130 pupils)",Grade 5 or above in English & maths GCSEs,49%,Attainment 8 score,53.2,EBacc average point score,4.79,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/136592/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=4&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Ashcroft Technology Academy,https://www.compare-school-performance.service.gov.uk/school/135316/ashcroft-technology-academy,"97%
(193 of 199 pupils)",Grade 5 or above in English & maths GCSEs,68%,Attainment 8 score,57.8,EBacc average point score,5.49,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/135316/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=4&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Hinchley Wood School,https://www.compare-school-performance.service.gov.uk/school/137855/hinchley-wood-school,"97%
(202 of 208 pupils)",Grade 5 or above in English & maths GCSEs,78%,Attainment 8 score,61.2,EBacc average point score,5.48,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/137855/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=4&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Newport Girls' High School Academy,https://www.compare-school-performance.service.gov.uk/school/136516/newport-girls'-high-school-academy,"100%
(56 of 56 pupils)",Grade 5 or above in English & maths GCSEs,100%,Attainment 8 score,78.3,EBacc average point score,7.59,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/136516/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=4&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Cheadle Hulme High School,https://www.compare-school-performance.service.gov.uk/school/137843/cheadle-hulme-high-school,"98%
(253 of 259 pupils)",Grade 5 or above in English & maths GCSEs,67%,Attainment 8 score,58,EBacc average point score,5.19,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/137843/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=4&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
The Camden School for Girls,https://www.compare-school-performance.service.gov.uk/school/100054/the-camden-school-for-girls,"95%
(104 of 110 pupils)",Grade 5 or above in English & maths GCSEs,75%,Attainment 8 score,63.4,EBacc average point score,5.83,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/100054/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=4&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Upton Court Grammar School,https://www.compare-school-performance.service.gov.uk/school/136420/upton-court-grammar-school,"97%
(136 of 140 pupils)",Grade 5 or above in English & maths GCSEs,97%,Attainment 8 score,71.9,EBacc average point score,6.8,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/136420/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=4&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
King Edward VI Camp Hill School for Girls,https://www.compare-school-performance.service.gov.uk/school/137044/king-edward-vi-camp-hill-school-for-girls,"100%
(121 of 121 pupils)",Grade 5 or above in English & maths GCSEs,99%,Attainment 8 score,79.9,EBacc average point score,7.78,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/137044/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=4&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
St Thomas More Catholic School,https://www.compare-school-performance.service.gov.uk/school/139362/st-thomas-more-catholic-school,"96%
(110 of 115 pupils)",Grade 5 or above in English & maths GCSEs,48%,Attainment 8 score,51.3,EBacc average point score,4.58,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/139362/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=4&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Ormiston Venture Academy,https://www.compare-school-performance.service.gov.uk/school/136187/ormiston-venture-academy,"95%
(105 of 111 pupils)",Grade 5 or above in English & maths GCSEs,45%,Attainment 8 score,49.8,EBacc average point score,3.7,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/136187/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=4&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Dr Challoner's Grammar School,https://www.compare-school-performance.service.gov.uk/school/136419/dr-challoner's-grammar-school,"99%
(184 of 186 pupils)",Grade 5 or above in English & maths GCSEs,99%,Attainment 8 score,75.2,EBacc average point score,6.7,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/136419/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=4&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Outwood Academy Ripon,https://www.compare-school-performance.service.gov.uk/school/137412/outwood-academy-ripon,"94%
(64 of 68 pupils)",Grade 5 or above in English & maths GCSEs,57%,Attainment 8 score,49.2,EBacc average point score,3.97,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/137412/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=4&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Hodge Hill Girls' School,https://www.compare-school-performance.service.gov.uk/school/103483/hodge-hill-girls'-school,"93%
(140 of 151 pupils)",Grade 5 or above in English & maths GCSEs,40%,Attainment 8 score,50.7,EBacc average point score,4.57,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/103483/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=4&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
St Bede's School,https://www.compare-school-performance.service.gov.uk/school/125278/st-bede's-school,"98%
(260 of 265 pupils)",Grade 5 or above in English & maths GCSEs,66%,Attainment 8 score,58.3,EBacc average point score,5.47,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/125278/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=4&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
,,40%,,"94%
(497037 of 528139 pupils)",,43%,,46.7,,,,
,,37%,,40%,,,,44.7,,,,
